Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
1,300,15,3,1019,0,65535,0,0,0
2,299,15,4,1019,-1,65535,0,0,0
3,296,15,4,1019,-4,65535,0,0,0
4,297,15,4,1019,-3,65535,0,0,0
5,296,15,4,1019,-4,65535,0,0,0
6,296,15,3,1019,-4,65535,0,0,0
7,296,14,2,1018,-4,65535,0,0,0
8,297,15,2,1018,-3,65535,0,0,0
9,296,15,3,1018,-4,65535,0,0,0
10,296,16,3,1018,-4,65535,0,0,0
11,296,17,3,1019,-4,65535,0,0,0
12,296,17,3,1021,-4,65535,0,0,0
13,297,16,2,1022,-3,65535,0,0,0
14,296,16,2,1023,-4,65535,0,0,0
15,295,17,2,1024,-5,65535,0,0,0
16,297,17,3,1023,-3,65535,0,0,0
17,297,17,3,1023,-3,65535,0,0,0
18,296,17,3,1022,-4,65535,0,0,0
19,296,15,3,1022,-4,65535,0,0,0
20,297,15,3,1023,-3,65535,0,0,0
21,296,14,3,1023,-4,65535,0,0,0
22,296,13,3,1022,-4,65535,0,0,0
23,296,14,3,1021,-4,65535,0,0,0
24,296,14,3,1020,-4,65535,0,0,0
25,296,14,4,1020,-4,65535,0,0,0
26,296,14,3,1020,-4,65535,0,0,0
27,296,14,3,1021,-4,65535,0,0,0
28,297,14,2,1021,-3,65535,0,0,0
29,296,14,2,1022,-4,65535,0,0,0
30,296,14,2,1022,-4,65535,0,0,0
31,296,14,1,1021,-4,65535,0,0,0
32,296,15,2,1020,-4,65535,0,0,0
33,296,16,2,1019,-4,65535,0,0,0
34,296,16,2,1019,-4,65535,0,0,0
35,296,16,2,1018,-4,65535,0,0,0
36,297,16,2,1018,-3,65535,0,0,0
37,299,16,2,1019,-1,65535,0,0,0
38,296,16,2,1020,-4,65535,0,0,0
39,295,16,2,1020,-5,65535,0,0,0
40,296,16,2,1019,-4,65535,0,0,0
41,296,16,2,1018,-4,65535,0,0,0
42,295,16,2,1018,-5,65535,0,0,0
43,295,16,3,1018,-5,65535,0,0,0
44,296,15,4,1018,-4,65535,0,0,0
45,296,15,4,1019,-4,65535,0,0,0
46,296,15,5,1019,-4,65535,0,0,0
47,296,14,5,1019,-4,65535,0,0,0
48,296,14,5,1019,-4,65535,0,0,0
49,296,14,4,1018,-4,65535,0,0,0
50,296,14,4,1019,-4,65535,0,0,0
51,296,13,4,1021,-4,65535,0,0,0
52,296,13,3,1022,-4,65535,0,0,0
53,296,15,3,1023,-4,65535,0,0,0
54,296,15,3,1023,-4,65535,0,0,0
55,296,15,3,1023,-4,65535,0,0,0
56,296,16,3,1022,-4,65535,0,0,0
57,296,16,3,1021,-4,65535,0,0,0
58,296,17,3,1021,-4,65535,0,0,0
59,296,18,3,1022,-4,65535,0,0,0
60,296,18,3,1023,-4,65535,0,0,0
61,296,18,3,1023,-4,65535,0,0,0
62,295,17,3,1022,-5,65535,0,0,0
63,296,16,3,1021,-4,65535,0,0,0
64,296,16,2,1021,-4,65535,0,0,0
65,296,16,2,1021,-4,65535,0,0,0
66,296,15,2,1022,-4,65535,0,0,0
67,296,15,2,1022,-4,65535,0,0,0
68,296,16,2,1022,-4,65535,0,0,0
